b_x,b_y,bodyMajor,bodyAngle,bodyArea,lh1_x,lh1_y,lh1Major,lh1Angle,lh1Area,rh1_x,rh1_y,rh1Major,rh1Angle,rh1Area,lh2_x,lh2_y,lh2Major,lh2Angle,lh2Area,rh2_x,rh2_y,rh2Major,rh2Angle,rh2Area,Pose
0,0,124,91.848,15973.928,-37,-6,61,91.878,3833.24,25,-7,58,78.111,3462.484,-19,-47,39,149.534,1592.994,9,-6,63,-71.565,4156.866,Hand on chin
0,0,97,95.886,9752.768,-32,-3,62,90.924,3896.08,27,-4,60,74.578,3770.4,-15,-44,38,148.782,1432.752,12,-3,61,-76.866,3833.24,Hand on chin
0,0,111,86.906,12904.194,-34,5,57,90.0,3402.786,32,-3,68,90.0,4700.432,-20,0,55,-120.256,3110.58,6,-36,52,-2.203,2777.528,Hand on chin
0,0,106,97.524,11656.82,-38,-6,63,88.182,4156.866,33,-14,77,85.544,6048.35,-28,-13,53,-114.179,2830.942,15,-33,49,-51.52,2463.328,Hand on chin
0,0,100,97.97,10368.6,-12,7,37,122.005,1395.048,37,4,39,79.824,1592.994,-2,17,51,-90.0,2724.114,16,-16,35,0.0,1209.67,Hand on chin
0,0,101,87.166,10472.286,-29,3,37,102.2,1395.048,21,4,34,74.745,1175.108,-7,-8,38,-155.433,1432.752,8,9,47,-68.875,2215.11,Hand on chin
0,0,121,87.634,15207.28,-34,-11,69,92.49,4986.354,24,-15,67,82.349,4631.308,-16,-46,33,178.264,1140.546,11,-10,78,-77.55,6371.976,Hand on chin
0,0,120,96.654,15081.6,-28,-10,67,95.117,4631.308,31,-14,69,91.66,4986.354,-18,-11,67,-101.143,4631.308,5,-50,55,3.122,3110.58,Hand on chin
0,0,121,94.254,15207.28,-31,-9,63,97.237,4156.866,31,-13,69,87.51,4986.354,-19,-8,67,-102.804,4631.308,7,-17,75,-53.584,5891.25,Hand on chin
0,0,111,88.452,12904.194,-25,0,45,109.231,2120.85,26,4,34,108.435,1175.108,-14,4,52,-98.746,2777.528,18,4,42,-51.766,1847.496,Hand on chin
0,0,100,90.573,10368.6,-25,4,32,106.189,1005.44,26,0,39,104.744,1592.994,-16,13,50,-101.31,2513.6,17,-5,38,-43.958,1432.752,Hand on chin
0,0,103,86.112,11003.284,-29,1,36,94.764,1357.344,26,0,38,106.557,1432.752,-14,-21,28,163.496,791.784,18,-6,36,-45.0,1357.344,Hand on chin
0,0,116,87.039,13849.936,-38,-10,57,93.013,3402.786,25,-7,49,84.174,2463.328,-20,-49,38,148.782,1432.752,13,-7,52,-68.806,2777.528,Hand on chin
0,0,116,98.896,13849.936,-37,-18,69,79.177,4986.354,41,-19,80,97.125,6535.36,-34,-27,52,-111.194,2777.528,36,-28,64,-71.003,4222.848,Hand on chin
0,0,105,69.507,11546.85,-37,-20,79,93.621,6453.668,14,0,50,104.859,2513.6,-9,-32,75,-132.839,5891.25,26,-12,28,-112.932,791.784,Hand on chin
0,0,116,79.077,13849.936,-36,-13,74,93.865,5580.192,19,1,44,97.765,1935.472,-27,-12,77,-99.707,6048.35,11,-35,35,51.843,1209.67,Hand on chin
0,0,112,81.798,13020.448,-36,-12,68,98.366,4700.432,17,-6,54,82.614,3054.024,-25,-14,64,-99.752,4222.848,6,-12,44,-71.565,1935.472,Hand on chin
0,0,111,91.548,12904.194,-29,-12,68,99.189,4700.432,24,-9,63,79.046,4156.866,-18,-34,25,-117.553,628.4,11,-12,56,-75.719,3167.136,Hand on chin
0,0,105,96.52,11546.85,-25,-13,65,104.036,4288.83,27,-12,65,75.964,4288.83,-11,-18,54,-101.725,3054.024,4,-54,36,32.829,1357.344,Hand on chin
0,0,97,86.46,9752.768,-26,-12,66,108.435,4562.184,22,-6,61,83.454,3833.24,-12,-14,59,-96.766,3522.182,-1,-49,45,33.341,2120.85,Hand on chin
0,0,108,89.469,12216.096,-30,-6,68,95.877,4700.432,31,-7,70,85.101,5058.62,-17,-9,64,-107.038,4222.848,14,-14,62,-62.199,3896.08,Hand on chin
0,0,119,72.019,14582.022,-51,1,63,71.565,4156.866,21,0,53,96.459,2830.942,-37,-34,48,167.989,2413.056,21,-12,29,-76.43,820.062,Hand on chin
0,0,121,102.888,15207.28,-22,-3,57,93.013,3402.786,48,-1,67,108.166,4631.308,-15,-4,56,-101.31,3167.136,30,-38,58,10.923,3462.484,Hand on chin
0,0,119,96.71,14582.022,-32,-27,83,94.821,7041.222,47,-25,97,95.301,9752.768,-20,-31,78,-103.325,6371.976,20,-90,70,28.025,5058.62,Hand on chin
0,0,120,101.497,15081.6,-33,-22,85,96.71,7477.96,47,-17,96,95.356,9652.224,-21,-39,52,-104.3,2777.528,18,-82,75,26.906,5891.25,Hand on chin
0,0,108,108.268,12216.096,-31,-14,83,97.549,7041.222,49,-3,96,94.764,9652.224,-23,-19,73,-94.699,5504.784,18,-68,77,25.907,6048.35,Hand on chin
0,0,104,107.913,11110.112,-33,-15,84,99.574,7389.984,47,1,98,94.667,9853.312,-29,-19,75,-84.668,5891.25,18,-64,73,26.565,5504.784,Hand on chin
0,0,117,84.144,14336.946,-53,-11,98,81.209,9853.312,39,-14,88,83.517,8018.384,-30,-62,61,175.314,3833.24,26,-29,60,-73.664,3770.4,Hand on chin
0,0,113,80.87,13136.702,-54,-14,101,79.796,10472.286,37,-17,88,82.235,8018.384,-29,-68,68,172.461,4700.432,23,-26,70,-76.945,5058.62,Hand on chin
0,0,121,85.276,15207.28,-51,-16,102,80.998,10896.456,39,-13,91,84.352,8577.66,-24,-70,69,175.03,4986.354,25,-25,69,-74.168,4986.354,Hand on chin
0,0,132,86.964,18248.736,-51,-16,102,80.998,10896.456,39,-15,94,85.135,9155.788,-24,-69,69,175.855,4986.354,24,-27,72,-72.316,5429.376,Hand on chin
0,0,120,78.97,15081.6,-57,-8,106,80.272,11656.82,37,-23,101,86.035,10472.286,-34,-83,76,145.069,5969.8,23,-27,95,-77.863,9253.19,Hand on chin
0,0,123,79.237,15845.106,-56,-2,101,79.242,10472.286,38,-19,99,88.264,10264.914,-35,-68,70,151.975,5058.62,25,-25,90,-75.353,8483.4,Hand on chin
0,0,136,111.098,19229.04,-21,-11,92,93.731,8671.92,66,7,91,103.885,8577.66,-19,-20,73,-88.431,5504.784,50,-60,71,39.289,5130.886,Hand on chin
0,0,141,99.33,20822.034,-17,-15,72,102.7,5429.376,45,-7,75,99.964,5891.25,-20,-16,73,-71.811,5504.784,26,-60,60,32.905,3770.4,Hand on chin
0,0,142,97.674,20969.708,-18,-18,78,104.744,6371.976,43,-11,85,94.708,7477.96,-16,-17,78,-78.261,6371.976,21,-60,51,14.574,2724.114,Hand on chin
0,0,132,101.31,18248.736,-13,-22,78,107.745,6371.976,46,-12,88,93.9,8018.384,-7,-26,68,-79.019,4700.432,22,-58,54,4.236,3054.024,Hand on chin
0,0,136,90.421,19229.04,-27,-13,81,97.734,6871.554,30,-13,79,79.824,6453.668,2,-63,51,159.444,2724.114,15,-21,64,-74.667,4222.848,Hand on chin
0,0,123,83.047,15845.106,-36,-7,84,93.406,7389.984,22,-10,74,76.891,5580.192,-6,-63,61,153.02,3833.24,15,-16,62,-92.77,3896.08,Hand on chin
0,0,115,78.009,13730.54,-40,-2,84,90.0,7389.984,21,-12,76,70.852,5969.8,-13,-59,60,150.489,3770.4,8,-16,63,-90.0,4156.866,Hand on chin
