LWN,RWN,LWLS,RWRS,LWRE,RWLE,LWRH,LELH,RWLH,RERH,LHRHMN,LWRW,LERE,LEA,REA,RSA,LSA,LHTA,RHTA,ETRI,WTRI,HTRI,Pose
169.6644, 53.3667, 127.7576, 35.0571, 77.3692, 110.3087, 87.8009, 82.3468, 112.0402, 20.6155, 160.4385, 120.075, 120.0666, 120.4524, 22.1207, 8.8905, 36.2168, 91.7086, 88.2914, 7932.5809, 6634.7537, 3654.8977, 'Hand on chin'
149.9667, 41.1096, 131.3088, 45.1774, 54.037, 104.8904, 72.7324, 74.4648, 107.0, 29.1548, 143.5836, 118.423, 101.1237, 117.8932, 30.0843, 17.976, 34.5826, 55.1245, 124.8755, 5704.4202, 5485.9369, 3218.3226, 'Hand on chin'
38.9102, 129.6534, 38.4708, 130.832, 115.7454, 28.2843, 128.1405, 70.7248, 43.382, 17.1172, 143.9601, 91.214, 119.8541, 28.2698, 85.2012, 1.658, 29.7633, 94.9271, 85.0729, 6802.7748, 3838.0412, 3812.0756, 'Hand on chin'
52.2398, 89.822, 47.8539, 83.4086, 120.4201, 75.213, 123.8426, 50.2494, 50.2195, 10.7703, 146.4548, 42.72, 113.0, 28.2418, 48.6055, 5.0645, 24.5892, 59.5002, 120.4998, 7915.9, 1501.633, 1686.2574, 'Hand on chin'
21.9545, 84.5931, 61.7414, 80.4301, 93.2952, 7.2111, 136.1653, 52.469, 48.0104, 45.3982, 140.4279, 73.5527, 63.9531, 55.9008, 89.0077, 6.009, 16.8303, 64.6753, 115.3247, 2960.2933, 1826.4559, 3338.049, 'Hand on chin'
47.2969, 55.5428, 62.8013, 24.8395, 35.4683, 59.203, 91.444, 40.1995, 87.3212, 62.0322, 132.5038, 8.2462, 70.0928, 63.1185, 40.3665, 5.7775, 4.8814, 107.9322, 72.0678, 2856.2814, 212.0094, 343.1665, 'Hand on chin'
131.5523, 69.3542, 76.2955, 33.8378, 65.2763, 96.4261, 70.0071, 33.541, 89.0674, 20.0, 149.1208, 73.7564, 90.0056, 66.7173, 23.0669, 1.518, 18.723, 101.3099, 78.6901, 5992.8511, 3631.7048, 1960.102, 'Hand on chin'
48.5077, 152.0296, 17.2627, 123.4585, 135.2479, 25.0, 133.4541, 30.0, 9.2195, 14.7648, 159.3902, 104.0769, 97.5141, 11.697, 83.5742, 7.0763, 12.622, 66.666, 113.334, 7119.0721, 5210.3455, 3560.0726, 'Hand on chin'
50.448, 66.2722, 25.0799, 61.6117, 131.6055, 80.4984, 127.4245, 29.5466, 84.4808, 12.3693, 156.0969, 24.7588, 97.4936, 16.0338, 33.9862, 6.4588, 14.3541, 73.719, 106.281, 7195.1078, 712.7847, 1245.6242, 'Hand on chin'
80.0062, 27.6586, 61.0737, 36.7696, 47.0, 99.8599, 72.6154, 38.4708, 123.3694, 69.6419, 146.0009, 53.2353, 100.8811, 56.0438, 26.803, 17.5168, 10.3827, 94.1849, 85.8151, 4817.0734, 1427.0891, 2464.4348, 'Hand on chin'
30.5287, 82.4924, 23.8537, 62.2415, 102.8251, 48.0833, 129.7112, 47.8539, 62.2415, 54.626, 141.5097, 61.327, 99.0454, 15.6942, 68.1502, 16.5835, 12.315, 79.4133, 100.5867, 4720.6611, 1659.3032, 2709.732, 'Hand on chin'
81.3941, 60.4401, 52.6308, 48.3322, 47.1699, 53.1507, 63.0714, 34.9285, 78.7718, 43.4626, 135.4483, 22.0907, 81.0062, 60.1792, 47.7664, 10.5571, 6.3413, 106.019, 73.981, 3976.4254, 782.3516, 723.4711, 'Hand on chin'
153.5513, 50.5964, 115.8361, 34.0147, 33.6155, 105.6835, 9.0554, 25.9422, 120.0167, 30.2655, 158.6852, 105.0428, 77.1038, 99.2356, 26.0519, 1.7947, 7.7707, 116.5484, 63.4516, 5165.9923, 5333.0586, 3040.1241, 'Hand on chin'
86.539, 94.3663, 30.2324, 26.4197, 145.3444, 158.373, 107.1681, 45.0999, 121.6224, 41.2311, 153.9683, 94.3398, 159.0126, 13.8655, 10.075, 21.8014, 24.3278, 79.7756, 100.2244, 12743.4098, 3645.2298, 3656.8848, 'Hand on chin'
70.0286, 71.8053, 110.8558, 64.6607, 26.4008, 117.7964, 89.8721, 30.1496, 140.46, 65.2993, 158.6443, 14.0, 81.3941, 62.5799, 72.8867, 40.3214, 16.4107, 164.6692, 15.3308, 5144.315, 494.0334, 805.8517, 'Hand on chin'
66.0681, 149.2716, 20.6155, 117.3243, 109.8772, 4.2426, 131.4002, 34.2053, 32.311, 65.7647, 176.4462, 99.0202, 74.1485, 12.1569, 100.0479, 21.5323, 7.3063, 123.3608, 56.6392, 4909.0143, 5162.4222, 3949.187, 'Hand on chin'
60.8769, 67.1193, 30.2655, 62.3699, 104.6518, 86.0349, 124.0403, 25.0, 109.8954, 27.313, 168.4711, 20.6155, 62.0725, 17.9274, 40.0348, 1.4803, 1.7947, 111.9438, 68.0562, 4434.6311, 651.8591, 1160.0357, 'Hand on chin'
53.4883, 49.0102, 35.0571, 59.0762, 100.2247, 106.7755, 119.4027, 16.7631, 120.2082, 20.0998, 162.5623, 20.025, 62.3939, 20.0654, 34.7282, 4.3521, 1.2516, 87.3529, 92.6471, 4514.8634, 503.7438, 1132.3084, 'Hand on chin'
47.8017, 59.2368, 39.0512, 49.2443, 113.864, 97.8366, 107.7033, 39.3573, 90.802, 25.0799, 138.1132, 36.1386, 118.3427, 27.4145, 31.6951, 12.5004, 19.4767, 78.4422, 101.5578, 7319.3922, 916.1158, 1579.5152, 'Hand on chin'
144.3087, 93.0215, 102.9563, 49.0918, 76.3217, 132.8345, 38.3275, 69.1158, 92.4554, 50.9902, 154.1793, 67.2012, 148.3375, 78.4302, 41.8564, 24.3472, 36.8221, 136.5561, 43.4439, 9258.0279, 3919.9094, 1284.8658, 'Hand on chin'
53.1507, 145.1344, 24.7386, 118.3385, 136.0, 53.8516, 123.6002, 58.2495, 13.1529, 57.8014, 163.0989, 91.9837, 151.1192, 18.6241, 76.0903, 30.9248, 25.876, 51.4942, 128.5058, 9921.4216, 4559.7501, 3061.8276, 'Hand on chin'
567.2504, 1382.4634, 328.1844, 1299.1401, 888.9601, 270.0852, 658.4953, 299.8133, 482.9265, 231.9353, 965.6803, 816.708, 806.0397, 23.3967, 108.7352, 13.5468, 22.6599, 73.9177, 106.0823, 461512.8109, 397958.9517, 131914.4645, 'Hand on chin'
444.3422, 1363.2058, 131.0, 1341.5338, 1142.0197, 205.2925, 956.5652, 251.2867, 391.4716, 188.0425, 1065.3794, 953.4999, 855.1327, 9.8065, 98.9928, 10.8558, 19.0981, 76.2123, 103.7877, 500800.1488, 426576.5162, 228516.5681, 'Hand on chin'
220.7918, 1109.0221, 164.0274, 1279.2205, 1057.0374, 160.8509, 1001.3691, 337.0015, 345.828, 87.4757, 1010.9372, 891.4398, 871.7626, 12.5857, 97.1908, 5.7513, 24.587, 40.8588, 139.1412, 429353.5815, 295883.2575, 246555.345, 'Hand on chin'
252.2479, 1096.0456, 93.4345, 1295.7839, 1060.3268, 180.025, 1027.8448, 307.6882, 334.9284, 33.1059, 966.7979, 877.2463, 814.0399, 7.2858, 100.6641, 1.8026, 23.6035, 39.8985, 140.1015, 388408.6495, 290976.8618, 243850.7923, 'Hand on chin'
1065.5111, 439.09, 1013.8664, 232.665, 384.7077, 1194.8757, 266.5408, 570.2017, 760.7799, 118.4736, 992.2223, 692.0592, 1144.4588, 76.681, 17.691, 8.6872, 38.4391, 122.2138, 57.7862, 583528.8211, 255294.01, 94445.4878, 'Hand on chin'
1117.3057, 443.2787, 1064.3768, 330.5102, 369.5835, 1111.8633, 228.0, 493.0821, 754.1154, 150.3064, 1092.6191, 693.0772, 1142.1751, 78.8731, 24.1682, 8.6574, 32.0306, 114.8377, 65.1623, 624542.4093, 268951.6847, 113568.7405, 'Hand on chin'
1276.0317, 554.9495, 1077.4939, 384.194, 374.8333, 1082.2038, 223.2219, 383.3797, 870.9334, 180.4217, 1296.6249, 750.5212, 1094.3331, 83.3711, 26.1368, 8.2281, 23.8547, 91.2276, 88.7724, 671796.7163, 341320.5876, 153734.7137, 'Hand on chin'
1272.0228, 556.2275, 1091.0105, 429.1165, 355.0394, 1067.6652, 186.6815, 365.5708, 868.9678, 179.4241, 1280.076, 732.7462, 1126.7462, 80.826, 29.2579, 9.3777, 22.66, 85.548, 94.452, 688938.1011, 333678.4638, 147159.9261, 'Hand on chin'
1320.6067, 434.4606, 1179.2108, 363.4075, 648.5492, 1112.7538, 358.2401, 389.782, 899.9494, 291.0533, 1190.1392, 913.0663, 1221.7549, 96.6397, 24.0679, 16.802, 22.9604, 124.8525, 55.1475, 688341.5843, 397460.9272, 147188.7525, 'Hand on chin'
1218.1482, 420.2333, 1168.4199, 335.4773, 568.0158, 1089.1561, 260.2499, 434.6918, 951.9748, 330.6297, 1254.0699, 805.4024, 1256.6782, 88.3986, 23.7326, 18.1775, 22.53, 124.472, 55.528, 695089.8661, 329150.5851, 177184.1771, 'Hand on chin'
885.2898, 1319.2017, 639.4631, 1216.9314, 1012.6623, 396.6081, 709.4737, 191.9505, 225.08, 547.3171, 1324.1606, 494.2681, 1087.3601, 16.5312, 100.5335, 25.7941, 7.8841, 32.8863, 147.1137, 629257.6984, 270827.8531, 64898.9321, 'Hand on chin'
466.1899, 1164.052, 186.325, 942.4611, 891.0264, 236.4085, 1382.3332, 434.8908, 443.0813, 658.1254, 1682.5732, 710.0789, 786.4509, 13.0783, 94.7927, 5.9037, 8.7107, 86.264, 93.736, 455814.3175, 288462.0572, 316335.6532, 'Hand on chin'
456.8698, 1165.6487, 242.8703, 997.8146, 907.9262, 129.6187, 1135.5778, 224.5373, 275.0018, 345.1101, 1466.5886, 710.6764, 718.0487, 17.4271, 90.4836, 5.281, 4.7249, 88.9373, 91.0627, 432111.8223, 288123.9194, 246906.4362, 'Hand on chin'
469.3336, 1122.8624, 230.2173, 1081.4444, 835.9677, 50.1597, 1005.3905, 155.0032, 202.094, 298.3287, 1377.3092, 688.0131, 635.8427, 17.8632, 92.9009, 6.2541, 1.7695, 61.7402, 118.2598, 377412.4424, 271352.5904, 206142.8877, 'Hand on chin'
1283.8847, 549.5616, 1031.8028, 673.5436, 46.0109, 585.8003, 177.2823, 209.0598, 770.0104, 214.9465, 1359.831, 788.2094, 613.0033, 96.373, 50.921, 0.4565, 4.3852, 46.8508, 133.1492, 355237.8038, 356848.7863, 186628.9575, 'Hand on chin'
1292.4953, 568.4092, 1204.8091, 237.3942, 149.566, 766.5677, 120.7684, 239.9708, 906.0971, 222.7487, 1307.7211, 731.3282, 633.3285, 108.1066, 16.1198, 4.0776, 3.1843, 80.9218, 99.0782, 345566.3513, 339714.8105, 184721.2853, 'Hand on chin'
1177.7572, 491.2291, 1225.4705, 248.7087, 75.06, 727.1568, 81.5966, 240.2603, 824.5787, 126.0159, 1211.6685, 691.643, 674.069, 107.0377, 18.8379, 3.874, 5.6808, 107.3575, 72.6425, 356532.6764, 288220.2695, 154031.9333, 'Hand on chin'
605.688, 475.8571, 468.8752, 300.0017, 663.7537, 742.4911, 780.7772, 232.0776, 947.9267, 122.1475, 1348.2924, 162.61, 522.0824, 34.9416, 22.6597, 2.0546, 1.1951, 84.3877, 95.6123, 305923.1731, 43786.9787, 65887.5423, 'Hand on chin'
376.7771, 361.0886, 192.4188, 275.7481, 908.9444, 825.1848, 1078.2393, 219.3171, 1032.8649, 186.172, 1294.0468, 331.0136, 497.8755, 12.1359, 19.9873, 2.7248, 3.0454, 73.9442, 106.0558, 271881.1602, 54587.2682, 159687.0874, 'Hand on chin'
39.6989, 47.2017, 78.5875, 87.6413, 117.9025, 130.8167, 204.978, 216.6679, 237.4574, 178.6757, 179.5341, 54.5894, 189.1296, 60.9482, 83.3804, 153.2433, 143.9129, 85.6489, 94.3511, 879.5034, 928.4207, 5827.8154, 'Hand on head'
119.3399, 49.0, 129.6919, 30.3645, 35.7351, 157.1146, 27.2947, 60.208, 158.9025, 26.0, 135.5231, 125.5428, 116.3486, 89.6707, 7.5711, 2.8919, 22.8141, 60.6337, 119.3663, 6083.9451, 4154.9032, 5052.3187, 'Hand on head'
60.6383, 132.5179, 45.8803, 128.8914, 208.4059, 97.7446, 198.2171, 65.437, 47.5395, 92.6337, 146.3216, 173.0029, 180.6018, 7.9177, 81.4524, 39.3559, 26.1227, 70.4077, 109.5923, 8839.4605, 4844.4671, 8269.1491, 'Hand on head'
48.5077, 51.1957, 22.8035, 21.9317, 168.0149, 165.3028, 184.716, 70.214, 163.2942, 50.6063, 160.9542, 98.0816, 155.0032, 0.273, 6.459, 13.5347, 28.9532, 79.8498, 100.1502, 9107.1815, 444.0833, 7449.2393, 'Hand on head'
28.0713, 86.6833, 41.7612, 83.2346, 112.1606, 16.4924, 142.6955, 51.6236, 44.1022, 44.3847, 127.119, 85.0529, 85.1469, 7.7207, 88.0005, 7.3726, 12.8309, 89.7167, 90.2833, 3470.3251, 2058.2544, 3922.1873, 'Hand on head'
91.7606, 18.1108, 90.2497, 13.9284, 49.6488, 109.0413, 43.8292, 55.8032, 121.6553, 36.8782, 109.7144, 96.6023, 92.2659, 105.9429, 4.4636, 4.1277, 22.3351, 144.5355, 35.4645, 3363.9913, 2182.1212, 3118.4174, 'Hand on head'
138.1774, 38.8973, 135.4732, 33.0606, 55.8032, 157.6991, 26.3059, 43.6807, 183.3821, 76.6942, 168.0216, 129.5222, 126.5899, 104.3095, 6.6568, 30.8704, 3.536, 114.9718, 65.0282, 7309.1959, 5061.7335, 6727.444, 'Hand on head'
31.0161, 138.7155, 19.9249, 119.6411, 137.2953, 94.8103, 158.4456, 54.4059, 53.0377, 37.108, 133.7928, 152.0132, 104.2353, 5.6528, 155.6893, 3.0596, 19.3571, 36.6351, 143.3649, 4809.0364, 4998.5523, 5194.3699, 'Hand on head'
